country,source_country,distance
Vietnam,India,3330
Kenya,India,5013
Zambia,India,6723
Haiti,India,14606
South Sudan,India,5343
Mozambique,India,6434
Burundi,India,5969
South Africa,India,8250
Nigeria,India,7607
Rwanda,India,5898
Côte d'Ivoire,India,9139
Malawi,India,6159
"Congo, DRC",India,6806
Sudan,India,5240
Swaziland,India,7320
Uganda,India,5491
Dominican Republic,India,14489
Zimbabwe,India,6983
Cameroon,India,7286
Tanzania,India,5667
Benin,India,8259
Ethiopia,India,4310
Pakistan,India,1452
Guyana,India,14609
Mali,India,8618
Namibia,India,8144
Ghana,India,8655
Guatemala,India,15792
Botswana,India,7575
Togo,India,8439
Angola,India,7550
Afghanistan,India,1850
Liberia,India,9584
Burkina Faso,India,8555
Lesotho,India,7774
Sierra Leone,India,9748
Senegal,India,9784
Guinea,India,9477
Vietnam,Sweden,8630
Kenya,Sweden,10374
Zambia,Sweden,13107
Haiti,Sweden,8232
South Sudan,Sweden,6013
Mozambique,Sweden,8888
Burundi,Sweden,11305
South Africa,Sweden,14379
Nigeria,Sweden,5595
Rwanda,Sweden,11307
Côte d'Ivoire,Sweden,8950
Malawi,Sweden,12403
"Congo, DRC",Sweden,7136
Sudan,Sweden,5337
Swaziland,Sweden,14646
Uganda,Sweden,10006
Dominican Republic,Sweden,8139
Zimbabwe,Sweden,13877
Cameroon,Sweden,5887
Tanzania,Sweden,11339
Benin,Sweden,5809
Ethiopia,Sweden,9270
Pakistan,Sweden,4969
Guyana,Sweden,8847
Mali,Sweden,5064
Namibia,Sweden,13215
Ghana,Sweden,9385
Guatemala,Sweden,9486
Botswana,Sweden,9179
Togo,Sweden,5914
Angola,Sweden,7927
Afghanistan,Sweden,4555
Liberia,Sweden,8809
Burkina Faso,Sweden,8842
Lesotho,Sweden,14825
Sierra Leone,Sweden,8351
Senegal,Sweden,5735
Guinea,Sweden,6050
Vietnam,Ireland,10386
Kenya,Ireland,10784
Zambia,Ireland,12462
Haiti,Ireland,6642
South Sudan,Ireland,6227
Mozambique,Ireland,8991
Burundi,Ireland,10661
South Africa,Ireland,9780
Nigeria,Ireland,7374
Rwanda,Ireland,10663
Côte d'Ivoire,Ireland,8166
Malawi,Ireland,12262
"Congo, DRC",Ireland,6924
Sudan,Ireland,5584
Swaziland,Ireland,9650
Uganda,Ireland,10716
Dominican Republic,Ireland,6523
Zimbabwe,Ireland,13248
Cameroon,Ireland,5399
Tanzania,Ireland,11614
Benin,Ireland,4953
Ethiopia,Ireland,9684
Pakistan,Ireland,6514
Guyana,Ireland,7086
Mali,Ireland,3966
Namibia,Ireland,12585
Ghana,Ireland,8600
Guatemala,Ireland,8111
Botswana,Ireland,8948
Togo,Ireland,5007
Angola,Ireland,7551
Afghanistan,Ireland,6123
Liberia,Ireland,8021
Burkina Faso,Ireland,8046
Lesotho,Ireland,14249
Sierra Leone,Ireland,7564
Senegal,Ireland,4335
Guinea,Ireland,7068
Vietnam,Germany,9323
Kenya,Germany,9275
Zambia,Germany,11775
Haiti,Germany,7872
South Sudan,Germany,5283
Mozambique,Germany,8136
Burundi,Germany,9992
South Africa,Germany,13048
Nigeria,Germany,6705
Rwanda,Germany,9994
Côte d'Ivoire,Germany,7699
Malawi,Germany,11308
"Congo, DRC",Germany,6228
Sudan,Germany,4614
Swaziland,Germany,13333
Uganda,Germany,10047
Dominican Republic,Germany,7745
Zimbabwe,Germany,12564
Cameroon,Germany,4870
Tanzania,Germany,10244
Benin,Germany,4711
Ethiopia,Germany,8174
Pakistan,Germany,5297
Guyana,Germany,8154
Mali,Germany,3946
Namibia,Germany,11902
Ghana,Germany,8134
Guatemala,Germany,9363
Botswana,Germany,8285
Togo,Germany,4810
Angola,Germany,6968
Afghanistan,Germany,4918
Liberia,Germany,7558
Burkina Faso,Germany,7007
Lesotho,Germany,13512
Sierra Leone,Germany,7100
Senegal,Germany,4643
Guinea,Germany,4935
Vietnam,United States,13789
Kenya,United States,13713
Zambia,United States,13836
Haiti,United States,3039
South Sudan,United States,12653
Mozambique,United States,14860
Burundi,United States,13331
South Africa,United States,14390
Nigeria,United States,10642
Rwanda,United States,13221
Côte d'Ivoire,United States,9512
Malawi,United States,14402
"Congo, DRC",United States,12688
Sudan,United States,12089
Swaziland,United States,14944
Uganda,United States,13164
Dominican Republic,United States,3214
Zimbabwe,United States,14321
Cameroon,United States,11076
Tanzania,United States,13963
Benin,United States,10080
Ethiopia,United States,13135
Pakistan,United States,12346
Guyana,United States,5173
Mali,United States,8983
Namibia,United States,13606
Ghana,United States,9882
Guatemala,United States,3355
Botswana,United States,14118
Togo,United States,8564
Angola,United States,12833
Afghanistan,United States,11925
Liberia,United States,9242
Burkina Faso,United States,9546
Lesotho,United States,14808
Sierra Leone,United States,8900
Senegal,United States,8272
Guinea,United States,8986
Vietnam,France,10067
Kenya,France,9706
Zambia,France,11017
Haiti,France,7314
South Sudan,France,5182
Mozambique,France,7950
Burundi,France,9216
South Africa,France,12289
Nigeria,France,5929
Rwanda,France,9217
Côte d'Ivoire,France,6715
Malawi,France,10816
"Congo, DRC",France,5908
Sudan,France,4541
Swaziland,France,12571
Uganda,France,9270
Dominican Republic,France,7169
Zimbabwe,France,11802
Cameroon,France,4426
Tanzania,France,10168
Benin,France,4103
Ethiopia,France,8606
Pakistan,France,5927
Guyana,France,7424
Mali,France,3236
Namibia,France,11140
Ghana,France,7150
Guatemala,France,8926
Botswana,France,7947
Togo,France,4181
Angola,France,6571
Afghanistan,France,5569
Liberia,France,6571
Burkina Faso,France,6596
Lesotho,France,12803
Sierra Leone,France,6114
Senegal,France,3853
Guinea,France,5618
Vietnam,United Kingdom,10027
Kenya,United Kingdom,10594
Zambia,United Kingdom,12272
Haiti,United Kingdom,6948
South Sudan,United Kingdom,6201
Mozambique,United Kingdom,9009
Burundi,United Kingdom,10473
South Africa,United Kingdom,13529
Nigeria,United Kingdom,7187
Rwanda,United Kingdom,10476
Côte d'Ivoire,United Kingdom,7977
Malawi,United Kingdom,12060
"Congo, DRC",United Kingdom,6995
Sudan,United Kingdom,5544
Swaziland,United Kingdom,13815
Uganda,United Kingdom,10529
Dominican Republic,United Kingdom,6836
Zimbabwe,United Kingdom,13046
Cameroon,United Kingdom,5515
Tanzania,United Kingdom,11846
Benin,United Kingdom,5144
Ethiopia,United Kingdom,9490
Pakistan,United Kingdom,6207
Guyana,United Kingdom,7448
Mali,United Kingdom,4202
Namibia,United Kingdom,12384
Ghana,United Kingdom,8411
Guatemala,United Kingdom,8363
Botswana,United Kingdom,9037
Togo,United Kingdom,5210
Angola,United Kingdom,7661
Afghanistan,United Kingdom,5810
Liberia,United Kingdom,7835
Burkina Faso,United Kingdom,7869
Lesotho,United Kingdom,13994
Sierra Leone,United Kingdom,7378
Senegal,United Kingdom,4641
Guinea,United Kingdom,6874
Vietnam,Italy,9426
Kenya,Italy,9084
Zambia,Italy,10747
Haiti,Italy,8193
South Sudan,Italy,4305
Mozambique,Italy,7129
Burundi,Italy,8963
South Africa,Italy,12019
Nigeria,Italy,5677
Rwanda,Italy,8966
Côte d'Ivoire,Italy,7522
Malawi,Italy,10550
"Congo, DRC",Italy,5186
Sudan,Italy,3647
Swaziland,Italy,12305
Uganda,Italy,9019
Dominican Republic,Italy,8037
Zimbabwe,Italy,11536
Cameroon,Italy,3834
Tanzania,Italy,10336
Benin,Italy,3755
Ethiopia,Italy,7984
Pakistan,Italy,5157
Guyana,Italy,8115
Mali,Italy,3125
Namibia,Italy,10874
Ghana,Italy,6446
Guatemala,Italy,9856
Botswana,Italy,7242
Togo,Italy,3870
Angola,Italy,5923
Afghanistan,Italy,4831
Liberia,Italy,7381
Burkina Faso,Italy,5978
Lesotho,Italy,12484
Sierra Leone,Italy,6923
Senegal,Italy,3997
Guinea,Italy,4160
Vietnam,South Korea,3109
Kenya,South Korea,9990
Zambia,South Korea,11736
Haiti,South Korea,13549
South Sudan,South Korea,10130
Mozambique,South Korea,11398
Burundi,South Korea,10927
South Africa,South Korea,13165
Nigeria,South Korea,11917
Rwanda,South Korea,10838
Côte d'Ivoire,South Korea,13145
Malawi,South Korea,11167
"Congo, DRC",South Korea,11703
Sudan,South Korea,9830
Swaziland,South Korea,12220
Uganda,South Korea,10404
Dominican Republic,South Korea,13644
Zimbabwe,South Korea,11980
